1,一,1,one,ichi or itsu,hito-tsu
2,二,2,two,"ni, ji",futa-tsu
3,三,3,three,san　,mit-tsu
4,四,5,four,shi,yot-tsu or yon
5,五,4,five,go,itsu-tsu
6,六,4,six,roku,mut-tsu
7,七,2,seven,shichi,nana-tsu
8,八,2,eight,hachi,yat-tsu
9,九,2,nine,ku or kyū,kokono-tsu
10,十,2,ten,jū,tō
11,百,6,hundred,hyaku,momo
12,千,3,thousand,sen,chi
13,上,3,top,jō,ue
14,下,3,below,ka or ge,shita
15,左,5,left,sa,hidari
16,右,5,right,u or yū,migi
17,中,4,"inside, middle",chū,naka
18,大,3,large,dai,ō-kii
19,小,3,small,shō,chii-sai
20,月,4,month; moon,gatsu or getsu,tsuki
21,日,4,day; sun,nichi,hi
22,年,6,year,nen,toshi
23,早,6,early,sō,haya-i
24,木,4,tree,moku; boku,ki
25,林,8,woods,rin,hayashi
26,山,3,mountain,san,yama
27,川,3,river,sen,kawa
28,土,3,soil,do,tsuchi
29,空,8,sky,kū,sora
30,田,5,rice paddy,den,da
31,天,4,heaven,ten,ame
32,生,5,life,sei or shō,i-kiru or u-mu or nama
33,花,7,flower,ka,hana
34,草,9,grass,sō,kusa
35,虫,6,insect,chū,mushi
36,犬,4,dog,ken,inu
37,人,2,person,jin or nin,hito
38,名,6,name,mei or myō,na
39,女,3,female,jo or nyo,on'na
40,男,7,male,dan or nan,otoko
41,子,3,child,shi or su,ko
42,目,5,eye,moku,me
43,耳,6,ear,ji or ni,mimi
44,口,3,mouth,kō,kuchi
45,手,4,hand,shu,te
46,足,7,foot,soku,ashi
47,見,7,see,ken,mi-ru
48,音,9,sound,on,ne or oto
49,力,2,power,riki or ryoku,chikara
50,気,6,spirit,ki or ke,
51,円,4,yen,en,maru
52,入,2,enter,nyū,hai-ru or i-ru
53,出,5,exit,shutsu,de-ru
54,立,5,stand up,ritsu,ta-tsu
55,休,6,rest,kyū,yasu-mu
56,先,6,previous,sen,saki
57,夕,3,evening,seki,yū
58,本,5,book,hon,moto
59,文,4,text,bun or mon,fumi
60,字,6,character,ji,azana
61,学,8,study,gaku,mana-bu
62,校,10,school,kō,
63,村,7,village,son,mura
64,町,7,town,chō,machi
65,森,12,forest,shin,mori
66,正,5,correct,sei,tada-shii
67,水,4,water,sui,mizu
68,火,4,fire,ka,hi
69,玉,5,gem,gyoku,tama
70,王,4,king,ō,
71,石,5,stone,seki,ishi
72,竹,6,bamboo,chiku,take
73,糸,6,thread,shi,ito
74,貝,7,shellfish,,kai
75,車,7,vehicle,sha,kuruma
76,金,8,gold,kin,kane
77,雨,8,rain,u,ame
78,赤,7,red,seki,aka
79,青,8,blue,sei,ao
80,白,5,white,haku,shiro
81,数,13,count,sū,kazu
82,多,6,"many,much",ta,ō-i
83,少,4,"a few, a little",shō,"suku-nai,suko-shi"
84,万,3,ten thousand,man,yorozu
85,半,5,half,han,naka-ba
86,形,7,shape,kei or gyō,katachi
87,太,4,thick,ta,futo-i
88,細,11,thin,sai,hoso-i
89,広,5,wide,kō,hiro-i
90,長,8,long,chō,naga-i
91,点,9,point,ten,bochi
92,丸,3,circle,gan,maru
93,交,6,intersect,kō,maji-waru
94,光,6,light,kō,hikari
95,角,7,corner,kaku,"kado,tsuno,sumi"
96,計,9,measure,kei,haka-ru
97,直,8,straight,"choku,jiki","tada-chi,nao-su"
98,線,15,line,sen,
99,矢,5,arrow,shi,ya
100,弱,10,weak,jaku,yowa-i
101,強,11,strong,kyō,tsuyo-i
102,高,10,high,kō,taka-i
103,同,6,same,dō,ona-ji
104,親,16,parent,shin,oya
105,母,5,mother,bo,"haha,kaa"
106,父,4,father,fu,"chichi,tou"
107,姉,8,older sister,shi,ane
108,兄,5,older brother,kei,ani
109,弟,7,younger brother,tei or dai,otouto
110,妹,8,younger sister,mai,imōto
111,自,6,oneself,ji or shi,mizuka-ra
112,友,4,friend,yū,tomo
113,体,7,body,tai,karada
114,毛,4,hair,mō,ke
115,頭,16,head,tō,atama
116,顔,18,face,gan,kao
117,首,9,neck,shu,kubi
118,心,4,heart,shin,kokoro
119,時,10,time,ji,toki
120,曜,18,weekday,yō,
121,朝,12,morning,chō,asa
122,昼,9,daytime,chū,hiru
123,夜,8,night,ya,yoru
124,分,4,minute; understand,"fun,bun",wa-karu
125,週,11,week,shū,
126,春,9,spring,shun,haru
127,夏,10,summer,ka,natsu
128,秋,9,autumn,shū,aki
129,冬,5,winter,tō,fuyu
130,今,4,now,kon,ima
